Sex,Age,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,2030 - 2031,2031 - 2032,2032 - 2033,2033 - 2034,2034 - 2035,2035 - 2036,2036 - 2037,2037 - 2038,2038 - 2039,2039 - 2040,2040 - 2041,2041 - 2042,2042 - 2043,2043 - 2044,2044 - 2045,2045 - 2046,2046 - 2047,2047 - 2048,2048 - 2049,2049 - 2050,2050 - 2051,2051 - 2052,2052 - 2053,2053 - 2054,2054 - 2055,2055 - 2056,2056 - 2057,2057 - 2058,2058 - 2059,2059 - 2060,2060 - 2061,2061 - 2062,2062 - 2063,2063 - 2064,2064 - 2065,2065 - 2066,2066 - 2067,2067 - 2068,2068 - 2069,2069 - 2070,2070 - 2071,2071 - 2072,2072 - 2073,2073 - 2074,2074 - 2075,2075 - 2076,2076 - 2077,2077 - 2078,2078 - 2079,2079 - 2080,2080 - 2081,2081 - 2082,2082 - 2083,2083 - 2084,2084 - 2085,2085 - 2086,2086 - 2087,2087 - 2088,2088 - 2089,2089 - 2090,2090 - 2091,2091 - 2092,2092 - 2093,2093 - 2094,2094 - 2095,2095 - 2096,2096 - 2097,2097 - 2098,2098 - 2099,2099 - 2100,2100 - 2101,2101 - 2102,2102 - 2103,2103 - 2104,2104 - 2105,2105 - 2106,2106 - 2107,2107 - 2108,2108 - 2109,2109 - 2110,2110 - 2111,2111 - 2112,2112 - 2113,2113 - 2114
1,9,7.225017828,6.664957703,6.494106598,6.266962982,6.056546339,5.977850867,5.605204432,5.510495772,5.427273939,5.311103949,5.34628755,5.298963932,5.0193184,4.983524705,4.956120632,4.934923632,4.684559341,4.671145517,4.431161326,4.433498112,4.208247464,4.220977555,4.232868933,4.241746563,4.013243704,4.018328305,4.020647206,4.019848594,4.015471375,4.007132696,3.759588419,3.743938038,3.724902018,3.703099378,3.6799586,3.656302952,3.632990735,3.610804882,3.590289613,3.572182079,3.556887412,3.544210145,3.313156212,3.305701343,3.299796403,3.295120914,3.291512834,3.288554187,3.066990745,3.064775117,2.843864199,2.841943146,2.839906807,2.837830021,2.835743897,2.833401444,2.83059437,2.82717173,2.605967884,2.384692012,2.379888643,2.374376591,2.368155627,2.36133845,2.353970881,2.346298767,2.338328499,2.330244347,2.322245316,2.314388659,2.097132905,2.090635313,2.084560184,2.078973985,2.073903553,2.069320156,2.065208973,2.061556001,2.058271731,2.05531046,2.052623098,2.050068831,1.842889569,1.840733594,1.838548854,1.836279372,1.833903372,1.831365802,1.828619727,1.825689274,1.822543035,1.819179611,1.815608789,1.811858615,1.60703076,1.603410454,1.599713651,1.595916051,1.592082573,1.588273775
1,10,7.624981618,6.931272435,6.643100693,6.474321223,6.249211338,6.040215757,5.962353699,5.824118607,5.725966686,5.648886404,5.538118509,5.332318577,5.285253542,5.244819846,5.207513495,4.943543556,4.922465311,4.906375835,4.892373605,4.652672204,4.655119642,4.430851318,4.444200143,4.222126052,4.23097852,4.238500419,4.243856723,4.246299527,4.009599453,4.005235078,3.996948212,3.984432588,3.967888115,3.947754947,3.924696615,3.900241012,3.875231232,3.850592482,3.602009471,3.581593742,3.563573596,3.548344531,3.535720165,3.525591941,3.517677981,3.511409337,3.506453518,3.28370919,3.280764549,3.278269336,3.275899535,3.273597454,3.271391355,3.269059982,3.266675015,3.046660697,2.826710676,2.823916838,2.820510317,2.816477259,2.811634544,2.805984517,2.799506856,2.57740539,2.355836209,2.348497869,2.340861331,2.332937794,2.324890809,2.316918667,2.309097951,2.301589876,2.294475008,2.287822648,2.281700863,2.27615326,2.064671712,2.060578961,2.056942335,2.053668519,2.050720469,2.04804509,2.045502196,2.043095003,2.040710126,2.038293418,1.832204661,1.829835467,1.827309135,1.824575203,1.821661375,1.818528992,1.815180353,1.811625199,1.807891446,1.803956076,1.799901005,1.79576021,1.791506468,1.588633329
1,11,9.241807698,8.137468976,7.438193263,7.385778302,7.199513412,6.95096097,6.746630299,6.422286762,6.273729802,6.1682986,6.103601594,6.003554104,5.801361386,5.750293505,5.706432576,5.66593639,5.400125846,5.377173664,5.359643747,5.344375277,5.104633383,5.107311581,5.117088284,4.899170407,4.912878292,4.923140401,4.931881325,4.938097422,4.470367347,4.46948401,4.464610909,4.455408397,4.441493838,4.423099755,4.169108297,4.144800923,4.119040264,4.0927043,4.066739717,4.04202811,4.019175935,3.999013577,3.981966118,3.967825345,3.956496127,3.728323636,3.721687807,3.716448125,3.712390212,3.709061237,3.706255287,3.703582672,3.483281338,3.480932107,3.478457478,3.475925954,3.473375491,3.470512573,3.46709832,3.246500273,3.241869392,3.236308796,3.2298142,3.22237618,3.213966613,3.204758425,3.194799718,2.97213412,2.962091575,2.951905033,2.941813039,2.931906472,2.713653224,2.705278623,2.697453604,2.483304948,2.47728638,2.471836513,2.261369033,2.257391932,2.253807398,2.25057492,2.247645591,2.244861308,2.242225592,2.239614298,2.236968135,2.031104332,2.028483972,2.025689798,2.022661904,2.019439121,2.015978647,2.012274877,2.008342655,2.004208839,1.99986001,1.995374721,1.990794566,1.787484037
1,12,10.81608808,10.04251331,9.731334085,9.267632001,9.14105795,8.912369131,8.606129716,8.411287948,8.0664964,7.880357629,7.292491582,7.258856683,6.94596637,6.750477054,6.691209066,6.403149401,6.357825482,6.323088759,6.063086414,6.043384528,6.026197736,5.786079387,5.789094042,5.800161244,5.81751841,5.600417231,5.612072503,5.62201111,5.39453393,5.397610267,5.396546445,5.390665009,5.379582147,5.129657933,5.108467866,5.082691932,5.05313254,5.021793442,4.989787945,4.958199002,4.928133257,4.677596651,4.654188271,4.413710308,4.398074083,4.385546554,4.375750031,4.367980519,4.361845628,4.139239665,4.135536776,4.132415647,4.129442819,4.126545962,4.123769516,3.903958288,3.901123849,3.898268194,3.895054255,3.891231434,3.886568344,3.665424375,3.659152131,3.651826289,3.643436189,3.633950072,3.623562964,3.612329092,3.600630746,3.377397821,3.365802812,3.354322306,3.343052562,3.332233002,3.321972878,3.312385943,3.303542947,3.295561394,3.082807287,3.076717962,3.071312812,3.066453105,3.062064995,3.058088389,3.054308662,3.050730599,2.844039959,2.840687162,2.83719276,2.83354062,2.627528617,2.421793722,2.417938687,2.413804548,2.409379715,2.204296173,2.199769024,2.195006361,2.190094204,2.185078102
1,13,13.61116782,12.47199117,11.67285977,11.31412177,10.820897,10.63265567,10.36810475,10.01314822,9.586613253,9.464353106,9.246491823,9.091890602,8.874140172,8.83781534,8.655188124,8.579425822,8.277803071,7.984528801,7.941040113,7.442284502,7.418165464,7.397125061,7.155676356,7.15937815,6.941640472,6.96237417,6.749012375,6.529812676,6.541360673,6.549531416,6.319226246,6.317984142,6.311117033,6.298176678,6.278595222,6.021145801,5.990831723,5.956083051,5.919241062,5.881614413,5.844476239,5.809127704,5.776436361,5.526541214,5.503098795,5.483640655,5.468048552,5.455864782,5.446213738,5.221051716,5.215367515,5.210713662,5.206790957,4.986260684,4.982771526,4.979416607,4.975883192,4.972279542,4.752620692,4.532861628,4.528423947,4.523010818,4.51658069,4.294163052,4.285587249,4.275765496,4.26466057,4.252500736,4.239349429,4.225654158,4.00085492,3.987152973,3.973586109,3.960268089,3.94748187,3.93535659,3.924026712,3.707590571,3.698654204,3.690547585,3.683290242,3.676834817,3.671030774,3.665789932,3.457642356,3.453378877,3.449342849,3.445337192,3.441285097,3.437061838,3.230727449,3.226291046,3.221484077,3.216368097,3.210881678,3.20500943,3.198768474,3.19221419,2.986236436,2.979575013
1,14,17.5044569,16.04053277,15.24409609,14.673169,14.22547649,13.67708405,13.37443238,13.04324821,12.597976,11.94733138,11.79544342,11.52468068,11.33253628,10.94375955,10.71651832,10.30694316,9.979387812,9.903873476,9.834096451,9.547817683,9.50749991,9.245615556,9.21948954,9.206248741,8.980763895,8.99779554,8.793212566,8.817554358,8.603240631,8.61843063,8.629143884,8.400704259,8.39903831,8.389955825,8.140206924,7.883134844,7.850752575,7.581596937,7.537714268,7.491223351,7.218205216,7.172756972,7.129497292,7.089488172,7.054168297,7.024344843,6.780825139,6.761612797,6.746558983,6.734657744,6.50830514,6.28453106,6.2789386,6.274224728,6.053537049,6.04932577,6.045263914,5.825223867,5.821016673,5.816765426,5.81196986,5.591247547,5.584594252,5.576676622,5.567171673,5.556083858,5.330177868,5.31637198,5.301254383,5.284915056,5.267876803,5.040169098,5.022964365,5.005918456,4.989184902,4.973108949,4.957873568,4.531676937,4.519611519,4.508746456,4.498880903,4.490057075,4.48220818,4.271743939,4.265669989,4.260140402,4.254900987,4.249941057,4.042874686,4.038132081,4.033189113,4.028014843,4.02249783,4.016519947,3.809649843,3.803168039,3.796230343,3.788856972,3.781113339,3.772951709
1,15,22.42520802,20.60462534,19.79473955,18.80332286,18.17030532,17.35513138,17.01083067,16.32482893,15.9224942,15.38128429,14.98588829,14.79625209,14.45808017,14.21805761,13.44576777,13.27616679,13.12359443,12.53647108,12.44203012,12.35478754,12.05608398,12.00542553,11.7365625,11.70356924,11.45765423,11.46356478,11.25550572,11.28890496,11.08899729,10.64875207,10.66749533,10.21629522,10.22211019,10.22004453,9.977041204,9.956688405,9.925936356,9.655449869,9.607191669,9.551826048,9.493145158,9.433252439,9.150938027,9.095981462,9.045131899,9.000257934,8.743809656,8.713049862,8.688465302,8.669201686,8.437622711,8.425883016,8.416754521,8.193672544,8.187511244,7.966351852,7.745675062,7.740512228,7.735023866,7.514753071,7.294736311,7.28876255,7.067478356,7.059087773,7.049120622,6.823907988,6.810372623,6.794855869,6.777327721,6.546942103,6.526858549,6.505900957,6.48410088,6.253602336,6.024715878,6.004669148,5.985397694,5.967133441,5.744880132,5.72964467,5.715924668,5.703466587,5.6923238,5.479457615,5.470864103,5.463115372,5.456061027,5.247548033,5.241465231,5.235396516,5.229278732,5.022021565,5.015603543,5.008760322,5.001345362,4.993443609,4.785581044,4.577847795,4.568990263,4.5596878
1,16,29.06887007,26.42658203,25.2706957,24.59725413,23.15699606,22.44966962,21.77897001,21.09028987,20.49385184,19.74742796,19.31484134,18.70477706,18.23546189,17.82054709,17.52596314,16.84655557,16.51839441,16.1498708,15.77469033,15.65636384,15.31507282,15.23250339,14.93899146,14.89094104,14.62085162,14.59997217,14.37922818,13.94891496,13.76074198,13.79846423,13.5961304,13.38910588,13.17434747,12.95058197,12.94797688,12.70310533,12.67733868,12.17878456,12.12917341,12.06882418,11.99958341,11.70117012,11.62764697,11.555042,11.48597606,11.20241445,11.14707804,11.10037349,10.84462259,10.81415443,10.79028012,10.55593136,10.32617815,10.10014183,9.876500799,9.869105623,9.647667194,9.640990922,9.420489994,9.413838771,9.407076259,9.186601235,9.179110053,8.956923595,8.946334772,8.933756198,8.706288063,8.689073173,8.669359102,8.436184482,8.412392295,8.386693672,8.150879041,8.123679902,8.096140632,8.068870917,7.835924,7.810862031,7.787140562,7.560586865,7.336816963,7.116005115,7.100558104,6.884263384,6.87229656,6.861561934,6.851882454,6.641816879,6.633685857,6.626040339,6.4178416,6.410371982,6.402573835,6.19459831,5.986625878,5.977798457,5.968391399,5.759693664,5.749257057,5.738176882
1,17,36.39400247,32.90980036,31.62909105,30.36259539,29.29635844,27.97102091,26.91285129,26.11675509,25.34775569,24.58540074,23.9861026,23.17952896,22.59286019,22.07756896,21.57825639,21.0001899,20.41804221,19.93713937,19.82867084,19.42411024,19.27923533,18.91484169,18.81346677,18.50679839,18.21983138,17.94202681,17.68976239,17.2449394,17.04975573,17.09974624,16.68910933,16.49378734,16.2929986,16.0830067,16.092065,15.85900654,15.61244404,15.58096373,15.3048754,15.01535661,14.94108459,14.6307755,14.54177741,14.45096343,14.14030274,13.83660507,13.76002516,13.69240767,13.41892588,13.37218456,13.11977494,13.09097152,12.85385594,12.83611913,12.60864269,12.59755095,12.16142694,12.15274076,11.71825897,11.71049942,11.48950838,11.48127595,11.26049563,11.25136396,11.02839813,11.0154322,10.78849058,10.77033217,10.53838501,10.30431372,10.277945,10.03995064,10.00944642,9.977571251,9.737320248,9.704488016,9.466189241,9.229841513,9.200497236,9.172703665,8.943398451,8.919865148,8.89870443,8.677682615,8.66085114,8.645875013,8.431703204,8.419854016,8.409081808,8.198868556,8.189468344,8.180057021,7.971303308,7.961656662,7.752770124,7.742273608,7.73091653,7.520895224,7.50823436,7.494699472
1,18,44.08508668,39.89238905,38.09365236,36.8819726,35.2575696,34.08110498,32.60461561,31.47750569,30.55580221,29.45228985,28.78108419,28.0859767,27.14995127,26.58873524,26.02817031,25.44466236,24.58684139,24.33267082,23.94285329,23.3927431,23.19329992,22.79162926,22.63488333,22.05979341,21.74242922,21.67341327,21.38839983,21.1333786,20.4691714,20.28159873,20.11449441,19.94216771,19.75499268,19.56159286,19.35733643,18.91242182,18.90863031,18.43334752,18.16938867,18.11430124,17.81598568,17.72862635,17.62834102,17.30023222,17.19311394,16.86817195,16.76865785,16.46008538,16.16435049,15.88292993,15.61407149,15.57080879,15.32410482,15.2975371,15.06442695,14.83638645,14.82344222,14.38925038,14.37905733,14.15787083,13.93742939,13.92766477,13.70689183,13.48629034,13.26486138,13.04175887,13.02655105,12.79864376,12.77730416,12.54330052,12.51520075,12.48343344,12.24119723,12.20430419,11.95952731,11.71465565,11.47063824,11.43251448,11.39506065,10.95343573,10.9205851,10.88981923,10.6602303,10.43447551,10.21188664,10.19225389,9.97522155,9.959822078,9.945933903,9.734660956,9.722878131,9.513616363,9.502767681,9.294084612,9.282905431,9.271204428,9.061753883,9.048563246,8.83808626,8.823321804
